arm,score_key,k,original_proxy_mean,original_proxy_gain,fixed_vocal_proxy_mean,fixed_vocal_proxy_gain,counterfactual_gain_retention,fixed_vocal_beat_v2,fixed_vocal_beat_v5_madmom,fixed_vocal_beat_v5_beat_this,fixed_vocal_coverage
beat_v2_coverage_raw,beat_v2_coverage_raw,4,0.8307140399380898,0.04212556730311434,0.7072698438519059,-0.0813186287830695,-1.9303865559350608,0.5997068110014108,0.5104929944558637,0.4885575318933363,0.8148328767024011
beat_v2_coverage_raw,beat_v2_coverage_raw,8,0.853014075140963,0.0644256025059875,0.6175390216841132,-0.17104945095086221,-2.654991871204704,0.42478369907538827,0.4116417144717791,0.4153700065637616,0.8102943442928383
beat_v2_coverage_raw,beat_v2_coverage_raw,16,0.8644087569049416,0.07582028426996612,0.6262478018431837,-0.1623406707917917,-2.1411245335583367,0.468469756543151,0.4669614518691766,0.47116235180649424,0.7840258471432164
beat_v5_coverage_raw,beat_v5_coverage_raw,1,0.693344629491477,0.0,0.693344629491477,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_coverage_raw,beat_v5_coverage_raw,2,0.6993839629751102,0.006039333483633169,0.6957884514637276,0.0024438219722505705,0.4046509401862679,0.654409298056839,0.5505381846342959,0.5297290128541836,0.8410387182931593
beat_v5_coverage_raw,beat_v5_coverage_raw,4,0.7017793875752756,0.008434758083798566,0.687529837958229,-0.005814791533248043,-0.6893845058125686,0.6182071122644892,0.547190187631567,0.4889701042352663,0.8278694882848909
beat_v5_coverage_raw,beat_v5_coverage_raw,8,0.7121123876048736,0.018767758113396593,0.6843422505057932,-0.00900237898568379,-0.4796725816312504,0.5348561555769848,0.5589966695387258,0.45933534449747915,0.8096878314728606
beat_v5_coverage_raw,beat_v5_coverage_raw,16,0.7449765534260533,0.051631923934576274,0.6906341340914904,-0.002710495399986579,-0.05249650203662942,0.36422026083648906,0.5323807421091181,0.3966737490924071,0.8488875260738629
beat_v5_detector_ensemble_coverage_raw,beat_v5_detector_ensemble_coverage_raw,1,0.6897217115279277,0.0,0.6897217115279277,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_detector_ensemble_coverage_raw,beat_v5_detector_ensemble_coverage_raw,2,0.6957728134591787,0.006051101931251024,0.6923202561670423,0.002598544639114575,0.4294332947350209,0.654409298056839,0.5505381846342959,0.5297290128541836,0.8410387182931593
